'allen_in’,'allen_out’,'screw_in’,'screw_out’,'null’,'time’
0.05,0.05,0.8,0.05,0.05,58.5
0.05,0.05,0.8,0.05,0.05,59
0.05,0.05,0.8,0.05,0.05,59.5
0.05,0.05,0.8,0.05,0.05,60
0.05,0.05,0.8,0.05,0.05,60.5
0.05,0.05,0.8,0.05,0.05,61
0.05,0.05,0.8,0.05,0.05,61.5
0.05,0.05,0.8,0.05,0.05,62
0.05,0.05,0.8,0.05,0.05,62.5
0.05,0.05,0.8,0.05,0.05,63
0.05,0.05,0.8,0.05,0.05,63.5
0.05,0.05,0.8,0.05,0.05,64
0.05,0.05,0.8,0.05,0.05,64.5
0.05,0.05,0.8,0.05,0.05,65
0.05,0.05,0.8,0.05,0.05,65.5
0.05,0.05,0.8,0.05,0.05,66
0.05,0.05,0.8,0.05,0.05,66.5
0.05,0.05,0.8,0.05,0.05,67
0.05,0.05,0.8,0.05,0.05,67.5
0.05,0.05,0.8,0.05,0.05,68
0.05,0.05,0.8,0.05,0.05,68.5
0.05,0.05,0.8,0.05,0.05,69
0.05,0.05,0.8,0.05,0.05,69.5
0.05,0.05,0.8,0.05,0.05,70
0.05,0.05,0.05,0.05,0.8,70.5
0.05,0.05,0.05,0.05,0.8,71
0.05,0.05,0.05,0.05,0.8,71.5
0.05,0.05,0.05,0.05,0.8,72
0.05,0.05,0.05,0.05,0.8,72.5
0.05,0.05,0.05,0.05,0.8,73
0.05,0.05,0.05,0.05,0.8,73.5
0.05,0.05,0.05,0.05,0.8,74
0.05,0.05,0.05,0.05,0.8,74.5
0.05,0.05,0.05,0.05,0.8,75
0.05,0.05,0.05,0.05,0.8,75.5
0.05,0.05,0.05,0.05,0.8,76
0.05,0.05,0.05,0.05,0.8,76.5
0.05,0.05,0.05,0.05,0.8,77
0.05,0.05,0.05,0.05,0.8,77.5
0.05,0.05,0.05,0.05,0.8,78
0.05,0.05,0.05,0.05,0.8,78.5
0.05,0.05,0.05,0.05,0.8,79
0.05,0.05,0.05,0.05,0.8,79.5
0.05,0.05,0.05,0.05,0.8,80
0.05,0.05,0.05,0.05,0.8,80.5
0.05,0.05,0.05,0.05,0.8,81
0.05,0.05,0.05,0.05,0.8,81.5
0.05,0.05,0.05,0.05,0.8,82
0.05,0.05,0.05,0.05,0.8,82.5
0.05,0.05,0.05,0.05,0.8,83
0.05,0.05,0.05,0.05,0.8,83.5
0.05,0.05,0.05,0.05,0.8,84
0.05,0.05,0.05,0.05,0.8,84.5
0.05,0.05,0.05,0.05,0.8,85
0.05,0.05,0.05,0.05,0.8,85.5
0.05,0.05,0.05,0.05,0.8,86
0.05,0.05,0.05,0.05,0.8,86.5
0.05,0.05,0.05,0.05,0.8,87
0.05,0.05,0.05,0.05,0.8,87.5
0.05,0.05,0.05,0.05,0.8,88
0.05,0.05,0.05,0.05,0.8,88.5
0.05,0.05,0.05,0.05,0.8,89
0.05,0.05,0.05,0.05,0.8,89.5
0.05,0.05,0.05,0.05,0.8,90
0.05,0.05,0.05,0.05,0.8,90.5
0.05,0.05,0.05,0.05,0.8,91
0.05,0.05,0.05,0.05,0.8,91.5
0.05,0.05,0.05,0.05,0.8,92
0.05,0.05,0.05,0.05,0.8,92.5
0.05,0.05,0.05,0.05,0.8,93
0.05,0.05,0.05,0.05,0.8,93.5
0.05,0.05,0.05,0.05,0.8,94
0.05,0.05,0.05,0.05,0.8,94.5
0.05,0.05,0.05,0.05,0.8,95
0.05,0.05,0.05,0.05,0.8,95.5
0.05,0.05,0.05,0.05,0.8,96
0.05,0.05,0.05,0.05,0.8,96.5
0.05,0.05,0.05,0.05,0.8,97
0.05,0.05,0.05,0.05,0.8,97.5
0.05,0.05,0.05,0.05,0.8,98
0.05,0.05,0.05,0.05,0.8,98.5
0.05,0.05,0.05,0.05,0.8,99
0.05,0.05,0.05,0.05,0.8,99.5
0.05,0.05,0.05,0.05,0.8,100
0.05,0.05,0.8,0.05,0.05,100.5
0.05,0.05,0.8,0.05,0.05,101
0.05,0.05,0.8,0.05,0.05,101.5
0.05,0.05,0.8,0.05,0.05,102
0.05,0.05,0.8,0.05,0.05,102.5
0.05,0.05,0.8,0.05,0.05,103
0.05,0.05,0.8,0.05,0.05,103.5
0.05,0.05,0.8,0.05,0.05,104
0.05,0.05,0.8,0.05,0.05,104.5
0.05,0.05,0.8,0.05,0.05,105
0.05,0.05,0.8,0.05,0.05,105.5
0.05,0.05,0.8,0.05,0.05,106
0.05,0.05,0.8,0.05,0.05,106.5
0.05,0.05,0.8,0.05,0.05,107
0.05,0.05,0.8,0.05,0.05,107.5
0.05,0.05,0.8,0.05,0.05,108
0.05,0.05,0.8,0.05,0.05,108.5
0.05,0.05,0.8,0.05,0.05,109
0.05,0.05,0.8,0.05,0.05,109.5
0.05,0.05,0.8,0.05,0.05,110
0.05,0.05,0.8,0.05,0.05,110.5
0.05,0.05,0.8,0.05,0.05,111
0.05,0.05,0.8,0.05,0.05,111.5
0.05,0.05,0.8,0.05,0.05,112
0.05,0.05,0.8,0.05,0.05,112.5
0.05,0.05,0.8,0.05,0.05,113
0.05,0.05,0.8,0.05,0.05,113.5
0.05,0.05,0.8,0.05,0.05,114
0.05,0.05,0.8,0.05,0.05,114.5
0.05,0.05,0.8,0.05,0.05,115
0.05,0.05,0.8,0.05,0.05,115.5
0.05,0.05,0.8,0.05,0.05,116
0.05,0.05,0.8,0.05,0.05,116.5
0.05,0.05,0.8,0.05,0.05,117
0.05,0.05,0.8,0.05,0.05,117.5
0.05,0.05,0.8,0.05,0.05,118
0.05,0.05,0.8,0.05,0.05,118.5
0.05,0.05,0.05,0.05,0.8,119
0.05,0.05,0.05,0.05,0.8,119.5
0.05,0.05,0.05,0.05,0.8,120
0.05,0.05,0.05,0.05,0.8,120.5
0.05,0.05,0.05,0.05,0.8,121
0.05,0.05,0.05,0.05,0.8,121.5
0.05,0.05,0.05,0.05,0.8,122
0.05,0.05,0.05,0.05,0.8,122.5
0.05,0.05,0.05,0.05,0.8,123
0.05,0.05,0.8,0.05,0.05,123.5
0.05,0.05,0.8,0.05,0.05,124
0.05,0.05,0.8,0.05,0.05,124.5
0.05,0.05,0.8,0.05,0.05,125
0.05,0.05,0.8,0.05,0.05,125.5
0.05,0.05,0.8,0.05,0.05,126
0.05,0.05,0.8,0.05,0.05,126.5
0.05,0.05,0.8,0.05,0.05,127
0.05,0.05,0.8,0.05,0.05,127.5
0.05,0.05,0.8,0.05,0.05,128
0.05,0.05,0.8,0.05,0.05,128.5
0.05,0.05,0.8,0.05,0.05,129
0.05,0.05,0.8,0.05,0.05,129.5
0.05,0.05,0.8,0.05,0.05,130
0.05,0.05,0.8,0.05,0.05,130.5
0.05,0.05,0.8,0.05,0.05,131
0.05,0.05,0.8,0.05,0.05,131.5
0.05,0.05,0.8,0.05,0.05,132
0.05,0.05,0.8,0.05,0.05,132.5
0.05,0.05,0.8,0.05,0.05,133
0.05,0.05,0.8,0.05,0.05,133.5
0.05,0.05,0.8,0.05,0.05,134
0.05,0.05,0.8,0.05,0.05,134.5
0.05,0.05,0.8,0.05,0.05,135
0.05,0.05,0.8,0.05,0.05,135.5
0.05,0.05,0.8,0.05,0.05,136
0.05,0.05,0.8,0.05,0.05,136.5
0.05,0.05,0.8,0.05,0.05,137
0.05,0.05,0.8,0.05,0.05,137.5
0.05,0.05,0.8,0.05,0.05,138
0.05,0.05,0.8,0.05,0.05,138.5
0.05,0.05,0.05,0.05,0.8,139
0.05,0.05,0.05,0.05,0.8,139.5
0.05,0.05,0.05,0.05,0.8,140
0.05,0.05,0.05,0.05,0.8,140.5
0.05,0.05,0.05,0.05,0.8,141
0.05,0.05,0.05,0.05,0.8,141.5
0.05,0.05,0.05,0.05,0.8,142
0.05,0.05,0.05,0.05,0.8,142.5
0.05,0.05,0.05,0.05,0.8,143
0.05,0.05,0.8,0.05,0.05,143.5
0.05,0.05,0.8,0.05,0.05,144
0.05,0.05,0.8,0.05,0.05,144.5
0.05,0.05,0.8,0.05,0.05,145
0.05,0.05,0.8,0.05,0.05,145.5
0.05,0.05,0.8,0.05,0.05,146
0.05,0.05,0.8,0.05,0.05,146.5
0.05,0.05,0.8,0.05,0.05,147
0.05,0.05,0.8,0.05,0.05,147.5
0.05,0.05,0.8,0.05,0.05,148
0.05,0.05,0.8,0.05,0.05,148.5
0.05,0.05,0.8,0.05,0.05,149
0.05,0.05,0.8,0.05,0.05,149.5
0.05,0.05,0.8,0.05,0.05,150
0.05,0.05,0.8,0.05,0.05,150.5
0.05,0.05,0.8,0.05,0.05,151
0.05,0.05,0.8,0.05,0.05,151.5
0.05,0.05,0.8,0.05,0.05,152
0.05,0.05,0.8,0.05,0.05,152.5
0.05,0.05,0.8,0.05,0.05,153
0.05,0.05,0.8,0.05,0.05,153.5
0.05,0.05,0.8,0.05,0.05,154
0.05,0.05,0.8,0.05,0.05,154.5
0.05,0.05,0.8,0.05,0.05,155
0.05,0.05,0.8,0.05,0.05,155.5
0.05,0.05,0.8,0.05,0.05,156
0.05,0.05,0.8,0.05,0.05,156.5
0.05,0.05,0.8,0.05,0.05,157
0.05,0.05,0.8,0.05,0.05,157.5
0.05,0.05,0.8,0.05,0.05,158
0.05,0.05,0.8,0.05,0.05,158.5
0.05,0.05,0.8,0.05,0.05,159
0.05,0.05,0.8,0.05,0.05,159.5
0.05,0.05,0.8,0.05,0.05,160
0.05,0.05,0.05,0.05,0.8,160.5
0.05,0.05,0.05,0.05,0.8,161
0.05,0.05,0.05,0.05,0.8,161.5
0.05,0.05,0.05,0.05,0.8,162
0.05,0.05,0.05,0.05,0.8,162.5
0.05,0.05,0.05,0.05,0.8,163
0.05,0.05,0.05,0.05,0.8,163.5
0.05,0.05,0.05,0.05,0.8,164
0.05,0.05,0.05,0.05,0.8,164.5
0.05,0.05,0.05,0.05,0.8,165
0.05,0.05,0.05,0.05,0.8,165.5
0.05,0.05,0.05,0.05,0.8,166
0.05,0.05,0.05,0.05,0.8,166.5
0.05,0.05,0.05,0.05,0.8,167
0.05,0.05,0.05,0.05,0.8,167.5
0.05,0.05,0.05,0.05,0.8,168
0.05,0.05,0.05,0.05,0.8,168.5
0.05,0.05,0.05,0.05,0.8,169
0.05,0.05,0.05,0.05,0.8,169.5
0.05,0.05,0.05,0.05,0.8,170
0.05,0.05,0.05,0.05,0.8,170.5
0.05,0.05,0.05,0.05,0.8,171
0.05,0.05,0.05,0.05,0.8,171.5
0.05,0.05,0.05,0.05,0.8,172
0.05,0.05,0.05,0.05,0.8,172.5
0.05,0.05,0.05,0.05,0.8,173
0.05,0.05,0.05,0.05,0.8,173.5
0.05,0.05,0.05,0.05,0.8,174
0.05,0.05,0.05,0.05,0.8,174.5
0.05,0.05,0.05,0.05,0.8,175
0.05,0.05,0.05,0.05,0.8,175.5
0.05,0.05,0.05,0.05,0.8,176
0.05,0.05,0.05,0.05,0.8,176.5
0.05,0.05,0.05,0.05,0.8,177
0.05,0.05,0.05,0.05,0.8,177.5
0.05,0.05,0.05,0.05,0.8,178
0.05,0.05,0.05,0.05,0.8,178.5
0.05,0.05,0.05,0.05,0.8,179
0.05,0.05,0.05,0.05,0.8,179.5
0.05,0.05,0.05,0.05,0.8,180
0.05,0.05,0.05,0.05,0.8,180.5
0.05,0.05,0.05,0.05,0.8,181
0.05,0.05,0.05,0.05,0.8,181.5
0.05,0.05,0.05,0.05,0.8,182
0.05,0.05,0.05,0.05,0.8,182.5
0.05,0.05,0.05,0.05,0.8,183
0.05,0.05,0.05,0.05,0.8,183.5
0.05,0.05,0.05,0.05,0.8,184
0.05,0.05,0.05,0.05,0.8,184.5
0.05,0.05,0.05,0.05,0.8,185
0.05,0.05,0.05,0.05,0.8,185.5
0.05,0.05,0.05,0.05,0.8,186
0.05,0.05,0.05,0.05,0.8,186.5
0.05,0.05,0.05,0.05,0.8,187
0.05,0.05,0.05,0.05,0.8,187.5
0.05,0.05,0.05,0.05,0.8,188
0.05,0.05,0.05,0.05,0.8,188.5
0.05,0.05,0.05,0.05,0.8,189
0.05,0.05,0.05,0.05,0.8,189.5
0.05,0.05,0.05,0.05,0.8,190
0.05,0.05,0.8,0.05,0.05,190.5
0.05,0.05,0.8,0.05,0.05,191
0.05,0.05,0.8,0.05,0.05,191.5
0.05,0.05,0.8,0.05,0.05,192
0.05,0.05,0.8,0.05,0.05,192.5
0.05,0.05,0.8,0.05,0.05,193
0.05,0.05,0.8,0.05,0.05,193.5
0.05,0.05,0.8,0.05,0.05,194
0.05,0.05,0.8,0.05,0.05,194.5
0.05,0.05,0.8,0.05,0.05,195
0.05,0.05,0.8,0.05,0.05,195.5
0.05,0.05,0.8,0.05,0.05,196
0.05,0.05,0.8,0.05,0.05,196.5
0.05,0.05,0.8,0.05,0.05,197
0.05,0.05,0.8,0.05,0.05,197.5
0.05,0.05,0.8,0.05,0.05,198
0.05,0.05,0.8,0.05,0.05,198.5
0.05,0.05,0.8,0.05,0.05,199
0.05,0.05,0.8,0.05,0.05,199.5
0.05,0.05,0.8,0.05,0.05,200
0.05,0.05,0.8,0.05,0.05,200.5
0.05,0.05,0.8,0.05,0.05,201
0.05,0.05,0.8,0.05,0.05,201.5
0.05,0.05,0.8,0.05,0.05,202
0.05,0.05,0.8,0.05,0.05,202.5
0.05,0.05,0.8,0.05,0.05,203
0.05,0.05,0.8,0.05,0.05,203.5
0.05,0.05,0.8,0.05,0.05,204
0.05,0.05,0.8,0.05,0.05,204.5
0.05,0.05,0.8,0.05,0.05,205
0.05,0.05,0.8,0.05,0.05,205.5
0.05,0.05,0.8,0.05,0.05,206
0.05,0.05,0.8,0.05,0.05,206.5
0.05,0.05,0.8,0.05,0.05,207
0.05,0.05,0.8,0.05,0.05,207.5
0.05,0.05,0.8,0.05,0.05,208
0.05,0.05,0.8,0.05,0.05,208.5
0.05,0.05,0.05,0.05,0.8,209
0.05,0.05,0.05,0.05,0.8,209.5
0.05,0.05,0.05,0.05,0.8,210
0.05,0.05,0.05,0.05,0.8,210.5
0.05,0.05,0.05,0.05,0.8,211
0.05,0.05,0.05,0.05,0.8,211.5
0.05,0.05,0.05,0.05,0.8,212
0.05,0.05,0.05,0.05,0.8,212.5
0.05,0.05,0.05,0.05,0.8,213
0.05,0.05,0.8,0.05,0.05,213.5
0.05,0.05,0.8,0.05,0.05,214
0.05,0.05,0.8,0.05,0.05,214.5
0.05,0.05,0.8,0.05,0.05,215
0.05,0.05,0.8,0.05,0.05,215.5
0.05,0.05,0.8,0.05,0.05,216
0.05,0.05,0.8,0.05,0.05,216.5
0.05,0.05,0.8,0.05,0.05,217
0.05,0.05,0.8,0.05,0.05,217.5
0.05,0.05,0.8,0.05,0.05,218
0.05,0.05,0.8,0.05,0.05,218.5
0.05,0.05,0.8,0.05,0.05,219
0.05,0.05,0.8,0.05,0.05,219.5
0.05,0.05,0.8,0.05,0.05,220
0.05,0.05,0.8,0.05,0.05,220.5
0.05,0.05,0.8,0.05,0.05,221
0.05,0.05,0.8,0.05,0.05,221.5
0.05,0.05,0.8,0.05,0.05,222
0.05,0.05,0.8,0.05,0.05,222.5
0.05,0.05,0.8,0.05,0.05,223
0.05,0.05,0.8,0.05,0.05,223.5
0.05,0.05,0.8,0.05,0.05,224
0.05,0.05,0.8,0.05,0.05,224.5
0.05,0.05,0.8,0.05,0.05,225
0.05,0.05,0.8,0.05,0.05,225.5
0.05,0.05,0.8,0.05,0.05,226
0.05,0.05,0.8,0.05,0.05,226.5
0.05,0.05,0.8,0.05,0.05,227
0.05,0.05,0.8,0.05,0.05,227.5
0.05,0.05,0.8,0.05,0.05,228
0.05,0.05,0.8,0.05,0.05,228.5
0.05,0.05,0.05,0.05,0.8,229
0.05,0.05,0.05,0.05,0.8,229.5
0.05,0.05,0.05,0.05,0.8,230
0.05,0.05,0.05,0.05,0.8,230.5
0.05,0.05,0.05,0.05,0.8,231
0.05,0.05,0.05,0.05,0.8,231.5
0.05,0.05,0.05,0.05,0.8,232
0.05,0.05,0.05,0.05,0.8,232.5
0.05,0.05,0.05,0.05,0.8,233
0.05,0.05,0.8,0.05,0.05,233.5
0.05,0.05,0.8,0.05,0.05,234
0.05,0.05,0.8,0.05,0.05,234.5
0.05,0.05,0.8,0.05,0.05,235
0.05,0.05,0.8,0.05,0.05,235.5
0.05,0.05,0.8,0.05,0.05,236
0.05,0.05,0.8,0.05,0.05,236.5
0.05,0.05,0.8,0.05,0.05,237
0.05,0.05,0.8,0.05,0.05,237.5
0.05,0.05,0.8,0.05,0.05,238
0.05,0.05,0.8,0.05,0.05,238.5
0.05,0.05,0.8,0.05,0.05,239
0.05,0.05,0.8,0.05,0.05,239.5
0.05,0.05,0.8,0.05,0.05,240
0.05,0.05,0.8,0.05,0.05,240.5
0.05,0.05,0.8,0.05,0.05,241
0.05,0.05,0.8,0.05,0.05,241.5
0.05,0.05,0.8,0.05,0.05,242
0.05,0.05,0.8,0.05,0.05,242.5
0.05,0.05,0.8,0.05,0.05,243
0.05,0.05,0.8,0.05,0.05,243.5
0.05,0.05,0.8,0.05,0.05,244
0.05,0.05,0.8,0.05,0.05,244.5
0.05,0.05,0.8,0.05,0.05,245
0.05,0.05,0.8,0.05,0.05,245.5
0.05,0.05,0.8,0.05,0.05,246
0.05,0.05,0.8,0.05,0.05,246.5
0.05,0.05,0.8,0.05,0.05,247
0.05,0.05,0.8,0.05,0.05,247.5
0.05,0.05,0.8,0.05,0.05,248
0.05,0.05,0.8,0.05,0.05,248.5
0.05,0.05,0.8,0.05,0.05,249
0.05,0.05,0.8,0.05,0.05,249.5
0.05,0.05,0.8,0.05,0.05,250
0.05,0.05,0.05,0.05,0.8,250.5
0.05,0.05,0.05,0.05,0.8,251
0.05,0.05,0.05,0.05,0.8,251.5
0.05,0.05,0.05,0.05,0.8,252
0.05,0.05,0.05,0.05,0.8,252.5
0.05,0.05,0.05,0.05,0.8,253
0.05,0.05,0.05,0.05,0.8,253.5
0.05,0.05,0.05,0.05,0.8,254
0.05,0.05,0.05,0.05,0.8,254.5
0.05,0.05,0.05,0.05,0.8,255
0.05,0.05,0.05,0.05,0.8,255.5
0.05,0.05,0.05,0.05,0.8,256
0.05,0.05,0.05,0.05,0.8,256.5
0.05,0.05,0.05,0.05,0.8,257
0.05,0.05,0.05,0.05,0.8,257.5
0.05,0.05,0.05,0.05,0.8,258
0.05,0.05,0.05,0.05,0.8,258.5
0.05,0.05,0.05,0.05,0.8,259
0.05,0.05,0.05,0.05,0.8,259.5
0.05,0.05,0.05,0.05,0.8,260
0.05,0.05,0.05,0.05,0.8,260.5
0.05,0.05,0.05,0.05,0.8,261
0.05,0.05,0.05,0.05,0.8,261.5
0.05,0.05,0.05,0.05,0.8,262
0.05,0.05,0.05,0.05,0.8,262.5
0.05,0.05,0.05,0.05,0.8,263
0.05,0.05,0.05,0.05,0.8,263.5
0.05,0.05,0.05,0.05,0.8,264
0.05,0.05,0.05,0.05,0.8,264.5
0.05,0.05,0.05,0.05,0.8,265
0.05,0.05,0.05,0.05,0.8,265.5
0.05,0.05,0.05,0.05,0.8,266
0.05,0.05,0.05,0.05,0.8,266.5
0.05,0.05,0.05,0.05,0.8,267
0.05,0.05,0.05,0.05,0.8,267.5
0.05,0.05,0.05,0.05,0.8,268
0.05,0.05,0.05,0.05,0.8,268.5
0.05,0.05,0.05,0.05,0.8,269
0.05,0.05,0.05,0.05,0.8,269.5
0.05,0.05,0.05,0.05,0.8,270
0.05,0.05,0.05,0.05,0.8,270.5
0.05,0.05,0.05,0.05,0.8,271
0.05,0.05,0.05,0.05,0.8,271.5
0.05,0.05,0.05,0.05,0.8,272
0.05,0.05,0.05,0.05,0.8,272.5
0.05,0.05,0.05,0.05,0.8,273
0.05,0.05,0.05,0.05,0.8,273.5
0.05,0.05,0.05,0.05,0.8,274
0.05,0.05,0.05,0.05,0.8,274.5
0.05,0.05,0.05,0.05,0.8,275
0.05,0.05,0.05,0.05,0.8,275.5
0.05,0.05,0.05,0.05,0.8,276
0.05,0.05,0.05,0.05,0.8,276.5
0.05,0.05,0.05,0.05,0.8,277
0.05,0.05,0.05,0.05,0.8,277.5
0.05,0.05,0.05,0.05,0.8,278
0.05,0.05,0.05,0.05,0.8,278.5
0.05,0.05,0.05,0.05,0.8,279
0.05,0.05,0.05,0.05,0.8,279.5
0.05,0.05,0.05,0.05,0.8,280
0.05,0.05,0.8,0.05,0.05,280.5
0.05,0.05,0.8,0.05,0.05,281
0.05,0.05,0.8,0.05,0.05,281.5
0.05,0.05,0.8,0.05,0.05,282
0.05,0.05,0.8,0.05,0.05,282.5
0.05,0.05,0.8,0.05,0.05,283
0.05,0.05,0.8,0.05,0.05,283.5
0.05,0.05,0.8,0.05,0.05,284
0.05,0.05,0.8,0.05,0.05,284.5
0.05,0.05,0.8,0.05,0.05,285
0.05,0.05,0.8,0.05,0.05,285.5
0.05,0.05,0.8,0.05,0.05,286
0.05,0.05,0.8,0.05,0.05,286.5
0.05,0.05,0.8,0.05,0.05,287
0.05,0.05,0.8,0.05,0.05,287.5
0.05,0.05,0.8,0.05,0.05,288
0.05,0.05,0.8,0.05,0.05,288.5
0.05,0.05,0.8,0.05,0.05,289
0.05,0.05,0.8,0.05,0.05,289.5
0.05,0.05,0.8,0.05,0.05,290
0.05,0.05,0.8,0.05,0.05,290.5
0.05,0.05,0.8,0.05,0.05,291
0.05,0.05,0.8,0.05,0.05,291.5
0.05,0.05,0.8,0.05,0.05,292
0.05,0.05,0.8,0.05,0.05,292.5
0.05,0.05,0.8,0.05,0.05,293
0.05,0.05,0.8,0.05,0.05,293.5
0.05,0.05,0.8,0.05,0.05,294
0.05,0.05,0.8,0.05,0.05,294.5
0.05,0.05,0.8,0.05,0.05,295
0.05,0.05,0.8,0.05,0.05,295.5
0.05,0.05,0.8,0.05,0.05,296
0.05,0.05,0.8,0.05,0.05,296.5
0.05,0.05,0.8,0.05,0.05,297
0.05,0.05,0.8,0.05,0.05,297.5
0.05,0.05,0.8,0.05,0.05,298
0.05,0.05,0.8,0.05,0.05,298.5
0.05,0.05,0.05,0.05,0.8,299
0.05,0.05,0.05,0.05,0.8,299.5
0.05,0.05,0.05,0.05,0.8,300
0.05,0.05,0.05,0.05,0.8,300.5
0.05,0.05,0.05,0.05,0.8,301
0.05,0.05,0.05,0.05,0.8,301.5
0.05,0.05,0.05,0.05,0.8,302
